country,country,proportion
Afghanistan,1,0.026624068157614485
Argentina,3,0.07987220447284345
Aruba,1,0.026624068157614485
Australia,39,1.038338658146965
Belgium,1,0.026624068157614485
Brazil,5,0.13312034078807242
Canada,59,1.5708200212992547
Chile,1,0.026624068157614485
China,13,0.34611288604898827
Colombia,1,0.026624068157614485
Czech Republic,3,0.07987220447284345
Denmark,8,0.21299254526091588
Finland,1,0.026624068157614485
France,101,2.6890308839190626
Georgia,1,0.026624068157614485
Germany,80,2.1299254526091587
Greece,1,0.026624068157614485
Hong Kong,13,0.34611288604898827
Hungary,2,0.05324813631522897
Iceland,1,0.026624068157614485
India,5,0.13312034078807242
Indonesia,1,0.026624068157614485
Iran,4,0.10649627263045794
Ireland,7,0.1863684771033014
Israel,1,0.026624068157614485
Italy,11,0.2928647497337593
Japan,15,0.3993610223642172
Mexico,6,0.1597444089456869
Netherlands,3,0.07987220447284345
New Line,1,0.026624068157614485
New Zealand,11,0.2928647497337593
Norway,4,0.10649627263045794
Official site,1,0.026624068157614485
Peru,1,0.026624068157614485
Poland,1,0.026624068157614485
Romania,2,0.05324813631522897
Russia,3,0.07987220447284345
South Africa,3,0.07987220447284345
South Korea,8,0.21299254526091588
Spain,21,0.5591054313099041
Taiwan,2,0.05324813631522897
Thailand,4,0.10649627263045794
UK,318,8.466453674121405
USA,2987,79.52609158679446
West Germany,1,0.026624068157614485
