actor_2_name,actor_2_name,proportion
50 Cent,2,0.05324813631522897
A. Michael Baldwin,1,0.026624068157614485
AJ Michalka,3,0.07987220447284345
Aaron Hughes,1,0.026624068157614485
Aaron Stanford,1,0.026624068157614485
Aaron Staton,1,0.026624068157614485
Aaron Yoo,3,0.07987220447284345
Aasif Mandvi,1,0.026624068157614485
Abbie Cornish,4,0.10649627263045794
Abigail Spencer,3,0.07987220447284345
Abraham Benrubi,1,0.026624068157614485
Adam Alexi-Malle,1,0.026624068157614485
Adam Arkin,2,0.05324813631522897
Adam Baldwin,2,0.05324813631522897
Adam Brown,2,0.05324813631522897
Adam Butcher,1,0.026624068157614485
Adam Garcia,1,0.026624068157614485
Adam Goldberg,5,0.13312034078807242
Adam Lamberg,1,0.026624068157614485
Adam LeFevre,1,0.026624068157614485
Adam Ratcliffe,1,0.026624068157614485
Adam Sandler,9,0.23961661341853036
Adam Scott,5,0.13312034078807242
Adel Karam,1,0.026624068157614485
Adelaide Kane,1,0.026624068157614485
Aden Young,1,0.026624068157614485
Adhir Kalyan,1,0.026624068157614485
Adrian Lester,1,0.026624068157614485
Adrian Martinez,4,0.10649627263045794
Adrian Paul,1,0.026624068157614485
Adriano Giannini,1,0.026624068157614485
Adrien Dorval,1,0.026624068157614485
Adrienne Barbeau,2,0.05324813631522897
Adrienne King,1,0.026624068157614485
Agnes Bruckner,1,0.026624068157614485
Aidan McArdle,1,0.026624068157614485
Aidan Quinn,3,0.07987220447284345
Aimee Garcia,2,0.05324813631522897
Aimee Teegarden,1,0.026624068157614485
Aisha Tyler,1,0.026624068157614485
Akie Kotabe,1,0.026624068157614485
Al Leong,1,0.026624068157614485
Al Pacino,6,0.1597444089456869
Alan Dale,2,0.05324813631522897
Alan Ford,1,0.026624068157614485
Alan Oppenheimer,1,0.026624068157614485
Alan Rickman,3,0.07987220447284345
Alan Ruck,4,0.10649627263045794
Alan Taylor,1,0.026624068157614485
Alan Van Sprang,1,0.026624068157614485
Alan Young,1,0.026624068157614485
Alanna Ubach,1,0.026624068157614485
Albert Brooks,3,0.07987220447284345
Albert Delpy,1,0.026624068157614485
Albert Finney,3,0.07987220447284345
Alden Ehrenreich,1,0.026624068157614485
Aldis Hodge,1,0.026624068157614485
Aleksa Palladino,1,0.026624068157614485
Aleksey Chadov,1,0.026624068157614485
Alessandro Nivola,1,0.026624068157614485
Alex Borstein,1,0.026624068157614485
Alex Désert,1,0.026624068157614485
Alex Kendrick,1,0.026624068157614485
Alex McArthur,1,0.026624068157614485
Alex Pettyfer,1,0.026624068157614485
Alex Rocco,2,0.05324813631522897
Alex Russell,1,0.026624068157614485
Alex Vincent,1,0.026624068157614485
Alexa Davalos,2,0.05324813631522897
Alexa PenaVega,2,0.05324813631522897
Alexander Skarsgård,4,0.10649627263045794
Alexandra Breckenridge,1,0.026624068157614485
Alexandra Holden,1,0.026624068157614485
Alexandra Maria Lara,1,0.026624068157614485
Alexandra Rapaport,1,0.026624068157614485
Alexia Rasmussen,1,0.026624068157614485
Alexis Dziena,1,0.026624068157614485
Alfie Allen,1,0.026624068157614485
Alfre Woodard,3,0.07987220447284345
Alia Shawkat,1,0.026624068157614485
Alice Braga,2,0.05324813631522897
Alicia Keys,1,0.026624068157614485
Alicia Witt,4,0.10649627263045794
Alison Brie,1,0.026624068157614485
Alison Doody,1,0.026624068157614485
Alison Lohman,4,0.10649627263045794
Allison Miller,1,0.026624068157614485
Allison Tolman,2,0.05324813631522897
Alona Tal,1,0.026624068157614485
Alonna Shaw,1,0.026624068157614485
Alun Armstrong,2,0.05324813631522897
Alycia Debnam-Carey,1,0.026624068157614485
Alyson Hannigan,1,0.026624068157614485
Alyson Stoner,2,0.05324813631522897
Amanda Detmer,1,0.026624068157614485
Amanda Kearsan,1,0.026624068157614485
Amber Benson,1,0.026624068157614485
Amber Rose Revah,2,0.05324813631522897
Amber Valletta,5,0.13312034078807242
America Ferrera,2,0.05324813631522897
Amiah Miller,1,0.026624068157614485
Amir Farrokh Hashemian,1,0.026624068157614485
Aml Ameen,1,0.026624068157614485
Amr Waked,2,0.05324813631522897
Amrish Puri,1,0.026624068157614485
Amy Irving,1,0.026624068157614485
Amy Poehler,4,0.10649627263045794
Amy Sedaris,1,0.026624068157614485
Amy Yasbeck,1,0.026624068157614485
Ana Claudia Talancón,2,0.05324813631522897
Andre Braugher,3,0.07987220447284345
Andrea Frankle,1,0.026624068157614485
Andrew Daly,1,0.026624068157614485
Andrew Fiscella,1,0.026624068157614485
Andrew Garfield,2,0.05324813631522897
Andrew Keegan,2,0.05324813631522897
Andrew Lawrence,1,0.026624068157614485
Andrew Simpson,1,0.026624068157614485
