director_name,director_name,proportion
Aaron Schneider,1,0.026624068157614485
Aaron Seltzer,1,0.026624068157614485
Abel Ferrara,1,0.026624068157614485
Adam Goldberg,1,0.026624068157614485
Adam Marcus,1,0.026624068157614485
Adam McKay,6,0.1597444089456869
Adam Rapp,1,0.026624068157614485
Adam Rifkin,1,0.026624068157614485
Adam Shankman,8,0.21299254526091588
Adrian Lyne,4,0.10649627263045794
Adrienne Shelly,1,0.026624068157614485
Agnieszka Holland,1,0.026624068157614485
Agnieszka Wojtowicz-Vosloo,1,0.026624068157614485
Aki Kaurismäki,1,0.026624068157614485
Akira Kurosawa,1,0.026624068157614485
Akiva Goldsman,1,0.026624068157614485
Akiva Schaffer,2,0.05324813631522897
Alan Cohn,1,0.026624068157614485
Alan J. Pakula,2,0.05324813631522897
Alan Metter,1,0.026624068157614485
Alan Parker,3,0.07987220447284345
Alan Poul,1,0.026624068157614485
Alan Rudolph,1,0.026624068157614485
Alan Shapiro,1,0.026624068157614485
Alan Taylor,2,0.05324813631522897
Albert Brooks,1,0.026624068157614485
Albert Hughes,4,0.10649627263045794
Alejandro Agresti,1,0.026624068157614485
Alejandro Amenábar,3,0.07987220447284345
Alejandro G. Iñárritu,5,0.13312034078807242
Alejandro Monteverde,1,0.026624068157614485
Alessandro Carloni,1,0.026624068157614485
Alex Craig Mann,1,0.026624068157614485
Alex Garland,1,0.026624068157614485
Alex Gibney,1,0.026624068157614485
Alex Kendrick,3,0.07987220447284345
Alex Proyas,5,0.13312034078807242
Alex Rivera,1,0.026624068157614485
Alex Smith,1,0.026624068157614485
Alex Zamm,1,0.026624068157614485
Alexander Payne,5,0.13312034078807242
Alexander Witt,1,0.026624068157614485
Alexandre Aja,4,0.10649627263045794
Alfonso Cuarón,4,0.10649627263045794
Alfred Hitchcock,1,0.026624068157614485
Alison Maclean,1,0.026624068157614485
Alister Grierson,1,0.026624068157614485
Allen Coulter,1,0.026624068157614485
Allen Hughes,1,0.026624068157614485
Allison Anders,1,0.026624068157614485
Amy Heckerling,3,0.07987220447284345
Anand Tucker,2,0.05324813631522897
Andrew Adamson,4,0.10649627263045794
Andrew Bergman,2,0.05324813631522897
Andrew Currie,1,0.026624068157614485
Andrew Davis,4,0.10649627263045794
Andrew Dominik,2,0.05324813631522897
Andrew Douglas,1,0.026624068157614485
Andrew Fleming,4,0.10649627263045794
Andrew Haigh,1,0.026624068157614485
Andrew Morahan,1,0.026624068157614485
Andrew Niccol,4,0.10649627263045794
Andrew Stanton,3,0.07987220447284345
Andrew Wilson,1,0.026624068157614485
Andrey Konchalovskiy,2,0.05324813631522897
Andrzej Bartkowiak,5,0.13312034078807242
André Øvredal,1,0.026624068157614485
Andrés Muschietti,1,0.026624068157614485
Andy Cadiff,2,0.05324813631522897
Andy Fickman,6,0.1597444089456869
Andy Garcia,1,0.026624068157614485
Andy Tennant,6,0.1597444089456869
Ang Lee,8,0.21299254526091588
Angela Robinson,2,0.05324813631522897
Angelina Jolie Pitt,4,0.10649627263045794
Angelo Pizzo,1,0.026624068157614485
Anna Boden,1,0.026624068157614485
Anna Muylaert,1,0.026624068157614485
Annabel Jankel,1,0.026624068157614485
Anne Fletcher,5,0.13312034078807242
Anne Fontaine,2,0.05324813631522897
Anthony Bell,1,0.026624068157614485
Anthony Hemingway,1,0.026624068157614485
Anthony Hickox,1,0.026624068157614485
Anthony Minghella,3,0.07987220447284345
Anthony Powell,1,0.026624068157614485
Anthony Russo,4,0.10649627263045794
Antoine Fuqua,8,0.21299254526091588
Anton Corbijn,3,0.07987220447284345
Antonia Bird,1,0.026624068157614485
Antonio Banderas,1,0.026624068157614485
Antony Hoffman,1,0.026624068157614485
Ari Folman,1,0.026624068157614485
Ari Sandel,1,0.026624068157614485
Arie Posin,1,0.026624068157614485
Ariel Vromen,2,0.05324813631522897
Arthur Hiller,1,0.026624068157614485
Asger Leth,1,0.026624068157614485
Asghar Farhadi,1,0.026624068157614485
Ash Brannon,1,0.026624068157614485
Atom Egoyan,4,0.10649627263045794
Audrey Wells,1,0.026624068157614485
Ava DuVernay,1,0.026624068157614485
Babak Najafi,1,0.026624068157614485
Baltasar Kormákur,3,0.07987220447284345
Barbet Schroeder,3,0.07987220447284345
Barbra Streisand,3,0.07987220447284345
Barry Cook,1,0.026624068157614485
Barry Levinson,13,0.34611288604898827
Barry Skolnick,1,0.026624068157614485
Barry Sonnenfeld,7,0.1863684771033014
Barry W. Blaustein,1,0.026624068157614485
Bart Freundlich,2,0.05324813631522897
Baz Luhrmann,5,0.13312034078807242
Beeban Kidron,1,0.026624068157614485
Ben Affleck,2,0.05324813631522897
Ben Falcone,2,0.05324813631522897
Ben Lewin,1,0.026624068157614485
Ben Stiller,5,0.13312034078807242
Ben Wheatley,1,0.026624068157614485
Ben Younger,1,0.026624068157614485
Benh Zeitlin,1,0.026624068157614485
Benjamin Dickinson,1,0.026624068157614485
Bennett Miller,2,0.05324813631522897
Benny Boom,1,0.026624068157614485
Benson Lee,1,0.026624068157614485
Bernardo Bertolucci,1,0.026624068157614485
Betty Thomas,4,0.10649627263045794
Bibo Bergeron,2,0.05324813631522897
Bill Condon,6,0.1597444089456869
Bill Duke,1,0.026624068157614485
Bill Paxton,1,0.026624068157614485
Bill Plympton,1,0.026624068157614485
Bille August,1,0.026624068157614485
Bille Woodruff,2,0.05324813631522897
Billy Bob Thornton,2,0.05324813631522897
Billy Ray,1,0.026624068157614485
Billy Wilder,1,0.026624068157614485
Blair Hayes,1,0.026624068157614485
Blake Edwards,1,0.026624068157614485
Bo Welch,1,0.026624068157614485
Boaz Yakin,3,0.07987220447284345
Bob Clark,3,0.07987220447284345
Bob Dolman,1,0.026624068157614485
Bob Odenkirk,1,0.026624068157614485
Bob Rafelson,1,0.026624068157614485
Bob Saget,1,0.026624068157614485
Bob Spiers,1,0.026624068157614485
Bobby Farrelly,9,0.23961661341853036
Bonnie Hunt,1,0.026624068157614485
Brad Anderson,5,0.13312034078807242
Brad Bird,5,0.13312034078807242
Brad Furman,2,0.05324813631522897
Brad Peyton,3,0.07987220447284345
Brad Silberling,4,0.10649627263045794
Bradley Parker,1,0.026624068157614485
Brandon Camp,1,0.026624068157614485
Brandon Trost,1,0.026624068157614485
Breck Eisner,3,0.07987220447284345
Brenda Chapman,1,0.026624068157614485
Brendan Malloy,1,0.026624068157614485
Brett Leonard,2,0.05324813631522897
Brett Ratner,10,0.26624068157614483
Brian Baugh,1,0.026624068157614485
Brian Dannelly,1,0.026624068157614485
Brian De Palma,10,0.26624068157614483
Brian Gibson,1,0.026624068157614485
Brian Helgeland,5,0.13312034078807242
Brian Henson,1,0.026624068157614485
Brian Klugman,1,0.026624068157614485
Brian Koppelman,1,0.026624068157614485
Brian Levant,6,0.1597444089456869
Brian Percival,1,0.026624068157614485
Brian Robbins,6,0.1597444089456869
Brian Trenchard-Smith,2,0.05324813631522897
Britt Allcroft,1,0.026624068157614485
Bronwen Hughes,1,0.026624068157614485
Bruce Beresford,2,0.05324813631522897
Bruce Campbell,1,0.026624068157614485
Bruce Dellis,1,0.026624068157614485
Bruce Hunt,1,0.026624068157614485
Bruce McCulloch,3,0.07987220447284345
Bruce McDonald,1,0.026624068157614485
Bruce Paltrow,1,0.026624068157614485
Bryan Barber,1,0.026624068157614485
Bryan Singer,8,0.21299254526091588
Burr Steers,4,0.10649627263045794
Byron Howard,1,0.026624068157614485
C. Jay Cox,2,0.05324813631522897
Cal Brunker,1,0.026624068157614485
Callie Khouri,2,0.05324813631522897
Cameron Crowe,6,0.1597444089456869
Camille Delamarre,2,0.05324813631522897
Carl Franklin,3,0.07987220447284345
Carl Rinsch,1,0.026624068157614485
Carlos Carrera,1,0.026624068157614485
Carlos Saldanha,4,0.10649627263045794
Carlos Saura,1,0.026624068157614485
Carmen Marron,1,0.026624068157614485
Carol Reed,1,0.026624068157614485
Caroline Link,1,0.026624068157614485
Carroll Ballard,1,0.026624068157614485
Carter Smith,1,0.026624068157614485
Catherine Hardwicke,6,0.1597444089456869
Cathy Malkasian,1,0.026624068157614485
Cecil B. DeMille,1,0.026624068157614485
Cedric Nicolas-Troyan,1,0.026624068157614485
Chan-wook Park,3,0.07987220447284345
Charles Chaplin,1,0.026624068157614485
Charles Herman-Wurmfeld,2,0.05324813631522897
Charles Martin Smith,3,0.07987220447284345
Charles Robert Carner,1,0.026624068157614485
Charles S. Dutton,1,0.026624068157614485
Charles Shyer,1,0.026624068157614485
Charles Stone III,2,0.05324813631522897
Charles T. Kanganis,1,0.026624068157614485
Charlie Kaufman,1,0.026624068157614485
Chatrichalerm Yukol,1,0.026624068157614485
Chia-Liang Liu,1,0.026624068157614485
Chris Buck,1,0.026624068157614485
Chris Butler,1,0.026624068157614485
Chris Carter,1,0.026624068157614485
Chris Columbus,11,0.2928647497337593
Chris Eyre,1,0.026624068157614485
Chris Gorak,1,0.026624068157614485
Chris Kentis,2,0.05324813631522897
Chris Koch,2,0.05324813631522897
Chris Miller,2,0.05324813631522897
Chris Nahon,1,0.026624068157614485
Chris Noonan,2,0.05324813631522897
Chris Paine,1,0.026624068157614485
Chris Roberts,1,0.026624068157614485
Chris Rock,2,0.05324813631522897
Chris Stokes,1,0.026624068157614485
Chris Wedge,3,0.07987220447284345
Chris Weitz,5,0.13312034078807242
Christian Alvart,2,0.05324813631522897
Christian Carion,1,0.026624068157614485
Christian Ditter,1,0.026624068157614485
Christian Duguay,2,0.05324813631522897
Christian E. Christiansen,1,0.026624068157614485
Christian Volckman,1,0.026624068157614485
Christine Jeffs,1,0.026624068157614485
Christophe Barratier,1,0.026624068157614485
Christophe Gans,1,0.026624068157614485
Christopher Cain,1,0.026624068157614485
Christopher Erskin,1,0.026624068157614485
Christopher Guest,3,0.07987220447284345
Christopher Landon,1,0.026624068157614485
Christopher Leitch,1,0.026624068157614485
Christopher McQuarrie,4,0.10649627263045794
Christopher Nolan,8,0.21299254526091588
Christopher Smith,1,0.026624068157614485
Christopher Spencer,1,0.026624068157614485
Chuan Lu,1,0.026624068157614485
Chuck Russell,5,0.13312034078807242
Chuck Sheetz,1,0.026624068157614485
Ciarán Foy,1,0.026624068157614485
Clare Kilner,2,0.05324813631522897
Clark Gregg,1,0.026624068157614485
Clark Johnson,2,0.05324813631522897
Clay Kaytis,1,0.026624068157614485
Clint Eastwood,19,0.5058572949946752
Clive Barker,1,0.026624068157614485
Cody Cameron,1,0.026624068157614485
Colin Higgins,1,0.026624068157614485
Colin Strause,2,0.05324813631522897
Colin Trevorrow,2,0.05324813631522897
Corey Yuen,1,0.026624068157614485
Cory Edwards,1,0.026624068157614485
Costa-Gavras,2,0.05324813631522897
Courtney Hunt,1,0.026624068157614485
Courtney Solomon,2,0.05324813631522897
Craig Bolotin,1,0.026624068157614485
Craig Brewer,2,0.05324813631522897
Craig Gillespie,3,0.07987220447284345
Craig Mazin,2,0.05324813631522897
Craig R. Baxley,2,0.05324813631522897
Craig Zobel,1,0.026624068157614485
Cristian Mungiu,1,0.026624068157614485
Curtis Hanson,5,0.13312034078807242
Cyrus Nowrasteh,1,0.026624068157614485
Cédric Klapisch,2,0.05324813631522897
D.J. Caruso,5,0.13312034078807242
DJ Pooh,2,0.05324813631522897
Dagur Kári,1,0.026624068157614485
Daisy von Scherler Mayer,1,0.026624068157614485
Damian Nieman,1,0.026624068157614485
Damien Chazelle,1,0.026624068157614485
Damien Dante Wayans,1,0.026624068157614485
Damien O'Donnell,1,0.026624068157614485
Damon Santostefano,1,0.026624068157614485
Dan Cutforth,1,0.026624068157614485
Dan Gilroy,1,0.026624068157614485
Dan Harris,1,0.026624068157614485
Dan Mazer,1,0.026624068157614485
Dan Rush,1,0.026624068157614485
Dan Scanlon,1,0.026624068157614485
Dan Trachtenberg,1,0.026624068157614485
Daniel Algrant,1,0.026624068157614485
Daniel Barber,1,0.026624068157614485
Daniel Barnz,1,0.026624068157614485
Daniel Espinosa,2,0.05324813631522897
Daniel Lee,1,0.026624068157614485
Daniel Myrick,1,0.026624068157614485
Daniel Sackheim,1,0.026624068157614485
Daniel Stamm,1,0.026624068157614485
Danny Boyle,9,0.23961661341853036
Danny Cannon,2,0.05324813631522897
Danny DeVito,3,0.07987220447284345
Danny Leiner,2,0.05324813631522897
Danny Pang,1,0.026624068157614485
Danny Steinmann,1,0.026624068157614485
Dario Argento,1,0.026624068157614485
Darnell Martin,1,0.026624068157614485
Darren Aronofsky,6,0.1597444089456869
Darren Grant,1,0.026624068157614485
Darren Lynn Bousman,4,0.10649627263045794
Darren Stein,1,0.026624068157614485
Dave Borthwick,1,0.026624068157614485
Dave Green,1,0.026624068157614485
Dave McKean,1,0.026624068157614485
David Anspaugh,1,0.026624068157614485
David Atkins,1,0.026624068157614485
David Ayer,7,0.1863684771033014
David Bowers,4,0.10649627263045794
David Boyd,1,0.026624068157614485
David Carson,1,0.026624068157614485
David Cronenberg,5,0.13312034078807242
David Dobkin,4,0.10649627263045794
David Duchovny,1,0.026624068157614485
David E. Talbert,1,0.026624068157614485
David F. Sandberg,1,0.026624068157614485
David Fincher,10,0.26624068157614483
David Frankel,4,0.10649627263045794
David Gelb,1,0.026624068157614485
David Gordon Green,6,0.1597444089456869
David Hackl,1,0.026624068157614485
David Jacobson,1,0.026624068157614485
David Kellogg,1,0.026624068157614485
David Koepp,5,0.13312034078807242
David Lean,4,0.10649627263045794
David Lynch,3,0.07987220447284345
David Mamet,2,0.05324813631522897
David McNally,2,0.05324813631522897
David Mirkin,1,0.026624068157614485
David Moreau,1,0.026624068157614485
David Nixon,1,0.026624068157614485
David Nutter,1,0.026624068157614485
David O. Russell,7,0.1863684771033014
David Palmer,1,0.026624068157614485
David R. Ellis,6,0.1597444089456869
David Raynr,2,0.05324813631522897
David Robert Mitchell,1,0.026624068157614485
David S. Goyer,3,0.07987220447284345
David S. Ward,1,0.026624068157614485
David Schwimmer,1,0.026624068157614485
David Silverman,1,0.026624068157614485
David Sington,1,0.026624068157614485
David Slade,3,0.07987220447284345
David Soren,1,0.026624068157614485
David Twohy,4,0.10649627263045794
David Wain,2,0.05324813631522897
David Webb Peoples,1,0.026624068157614485
David Yates,4,0.10649627263045794
David Zucker,5,0.13312034078807242
Davis Guggenheim,2,0.05324813631522897
Dean DeBlois,3,0.07987220447284345
Dean Israelite,1,0.026624068157614485
Dean Parisot,4,0.10649627263045794
Dean Wright,1,0.026624068157614485
Deb Hagan,1,0.026624068157614485
Debra Granik,1,0.026624068157614485
Demian Lichtenstein,1,0.026624068157614485
Denis Villeneuve,3,0.07987220447284345
Dennie Gordon,3,0.07987220447284345
Dennis Dugan,9,0.23961661341853036
Dennis Iliadis,2,0.05324813631522897
Denys Arcand,1,0.026624068157614485
