first_genre,first_genre,proportion
Action,959,25.532481363152286
Adventure,369,9.824281150159745
Animation,45,1.1980830670926517
Biography,205,5.457933972310968
Comedy,989,26.331203407880725
Crime,255,6.7891373801916926
Documentary,26,0.6922257720979765
Drama,668,17.784877529286476
Family,3,0.07987220447284345
Fantasy,37,0.985090521831736
Horror,164,4.366347177848776
Musical,2,0.05324813631522897
Mystery,23,0.6123535676251332
Romance,1,0.026624068157614485
Sci-Fi,7,0.1863684771033014
Thriller,1,0.026624068157614485
Western,2,0.05324813631522897
