genres,genres,proportion
Action,6,0.1597444089456869
Action|Adventure,9,0.23961661341853036
Action|Adventure|Animation|Comedy|Crime|Family|Fantasy,1,0.026624068157614485
Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi,2,0.05324813631522897
Action|Adventure|Animation|Comedy|Family,5,0.13312034078807242
Action|Adventure|Animation|Comedy|Family|Fantasy,4,0.10649627263045794
Action|Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,2,0.05324813631522897
Action|Adventure|Animation|Comedy|Family|Sci-Fi,3,0.07987220447284345
Action|Adventure|Animation|Comedy|Fantasy,1,0.026624068157614485
Action|Adventure|Animation|Comedy|Fantasy|Sci-Fi,1,0.026624068157614485
Action|Adventure|Animation|Drama|Mystery|Sci-Fi|Thriller,1,0.026624068157614485
Action|Adventure|Animation|Family,1,0.026624068157614485
Action|Adventure|Animation|Family|Fantasy,1,0.026624068157614485
Action|Adventure|Animation|Family|Fantasy|Sci-Fi,1,0.026624068157614485
Action|Adventure|Animation|Family|Sci-Fi,2,0.05324813631522897
Action|Adventure|Animation|Family|Sci-Fi|Thriller,1,0.026624068157614485
Action|Adventure|Animation|Fantasy,1,0.026624068157614485
Action|Adventure|Animation|Fantasy|Romance|Sci-Fi,1,0.026624068157614485
Action|Adventure|Biography|Drama|History|Romance|War,1,0.026624068157614485
Action|Adventure|Biography|Drama|History|Thriller,1,0.026624068157614485
Action|Adventure|Comedy,10,0.26624068157614483
Action|Adventure|Comedy|Crime,6,0.1597444089456869
Action|Adventure|Comedy|Crime|Family|Romance|Thriller,1,0.026624068157614485
Action|Adventure|Comedy|Crime|Music|Mystery,1,0.026624068157614485
Action|Adventure|Comedy|Crime|Mystery|Thriller,1,0.026624068157614485
Action|Adventure|Comedy|Crime|Thriller,1,0.026624068157614485
Action|Adventure|Comedy|Drama|Music|Sci-Fi,1,0.026624068157614485
Action|Adventure|Comedy|Drama|Thriller,1,0.026624068157614485
Action|Adventure|Comedy|Drama|War,1,0.026624068157614485
Action|Adventure|Comedy|Family,1,0.026624068157614485
Action|Adventure|Comedy|Family|Fantasy,1,0.026624068157614485
Action|Adventure|Comedy|Family|Fantasy|Mystery|Sci-Fi,1,0.026624068157614485
Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,4,0.10649627263045794
Action|Adventure|Comedy|Family|Mystery,1,0.026624068157614485
Action|Adventure|Comedy|Family|Romance,1,0.026624068157614485
Action|Adventure|Comedy|Family|Romance|Sci-Fi,1,0.026624068157614485
Action|Adventure|Comedy|Family|Sci-Fi,8,0.21299254526091588
Action|Adventure|Comedy|Fantasy,3,0.07987220447284345
Action|Adventure|Comedy|Fantasy|Mystery,1,0.026624068157614485
Action|Adventure|Comedy|Fantasy|Thriller,1,0.026624068157614485
Action|Adventure|Comedy|Musical,1,0.026624068157614485
Action|Adventure|Comedy|Music|Thriller,1,0.026624068157614485
Action|Adventure|Comedy|Romance,1,0.026624068157614485
Action|Adventure|Comedy|Romance|Sci-Fi,2,0.05324813631522897
Action|Adventure|Comedy|Romance|Thriller,1,0.026624068157614485
Action|Adventure|Comedy|Romance|Thriller|Western,1,0.026624068157614485
Action|Adventure|Comedy|Sci-Fi,4,0.10649627263045794
Action|Adventure|Comedy|Sci-Fi|Thriller,1,0.026624068157614485
Action|Adventure|Comedy|Thriller,5,0.13312034078807242
Action|Adventure|Comedy|Western,2,0.05324813631522897
Action|Adventure|Crime|Drama|Family|Fantasy|Romance|Thriller,1,0.026624068157614485
Action|Adventure|Crime|Drama|Mystery|Thriller,1,0.026624068157614485
Action|Adventure|Crime|Drama|Romance,1,0.026624068157614485
Action|Adventure|Crime|Drama|Thriller,2,0.05324813631522897
Action|Adventure|Crime|Fantasy|Mystery|Thriller,1,0.026624068157614485
Action|Adventure|Crime|Mystery|Thriller,2,0.05324813631522897
Action|Adventure|Crime|Thriller,8,0.21299254526091588
Action|Adventure|Drama,4,0.10649627263045794
Action|Adventure|Drama|Family,1,0.026624068157614485
Action|Adventure|Drama|Fantasy,6,0.1597444089456869
Action|Adventure|Drama|History,2,0.05324813631522897
Action|Adventure|Drama|History|Romance,3,0.07987220447284345
Action|Adventure|Drama|History|Romance|War,1,0.026624068157614485
Action|Adventure|Drama|History|War,6,0.1597444089456869
Action|Adventure|Drama|Mystery,1,0.026624068157614485
Action|Adventure|Drama|Romance,7,0.1863684771033014
Action|Adventure|Drama|Romance|Sci-Fi,1,0.026624068157614485
Action|Adventure|Drama|Romance|Thriller,1,0.026624068157614485
Action|Adventure|Drama|Romance|War,1,0.026624068157614485
Action|Adventure|Drama|Romance|Western,1,0.026624068157614485
Action|Adventure|Drama|Sci-Fi,2,0.05324813631522897
Action|Adventure|Drama|Sci-Fi|Thriller,2,0.05324813631522897
Action|Adventure|Drama|Thriller,12,0.3194888178913738
Action|Adventure|Drama|Thriller|War,1,0.026624068157614485
Action|Adventure|Drama|Thriller|Western,1,0.026624068157614485
Action|Adventure|Family|Fantasy,5,0.13312034078807242
Action|Adventure|Family|Fantasy|Romance,1,0.026624068157614485
Action|Adventure|Family|Fantasy|Sci-Fi,1,0.026624068157614485
Action|Adventure|Family|Fantasy|Sci-Fi|Thriller,1,0.026624068157614485
Action|Adventure|Family|Fantasy|Thriller,1,0.026624068157614485
Action|Adventure|Family|Mystery,1,0.026624068157614485
Action|Adventure|Family|Mystery|Sci-Fi,1,0.026624068157614485
Action|Adventure|Family|Sci-Fi,2,0.05324813631522897
Action|Adventure|Family|Sci-Fi|Thriller,1,0.026624068157614485
Action|Adventure|Family|Thriller,1,0.026624068157614485
Action|Adventure|Fantasy,25,0.6656017039403621
Action|Adventure|Fantasy|Horror,1,0.026624068157614485
Action|Adventure|Fantasy|Horror|Sci-Fi,1,0.026624068157614485
Action|Adventure|Fantasy|Horror|Sci-Fi|Thriller,1,0.026624068157614485
Action|Adventure|Fantasy|Horror|Thriller,1,0.026624068157614485
Action|Adventure|Fantasy|Romance,3,0.07987220447284345
Action|Adventure|Fantasy|Sci-Fi,12,0.3194888178913738
Action|Adventure|Fantasy|Sci-Fi|Thriller,12,0.3194888178913738
Action|Adventure|Fantasy|Thriller,5,0.13312034078807242
Action|Adventure|Fantasy|War,1,0.026624068157614485
Action|Adventure|History,4,0.10649627263045794
