plot_keywords,plot_keywords,proportion
10 year old|dog|florida|girl|supermarket,1,0.026624068157614485
1000000 b.c.|box office hit|lawn mowing|product placement|stone age,1,0.026624068157614485
1190s|archer|england|king of england|robin hood,1,0.026624068157614485
12 step program|box office hit|car accident|vomiting|wedding,1,0.026624068157614485
12 year old|artist|hotel|three word title|written and directed by cast member,1,0.026624068157614485
12 year time span|coming of age|domestic abuse|growing up|separated parents,1,0.026624068157614485
12th century|crusader|jerusalem|knight|medieval times,1,0.026624068157614485
13 year olds|adolescence|friend|peer pressure|teacher,1,0.026624068157614485
13 year old|13th birthday|30 year old|wish|year 1987,1,0.026624068157614485
14 year old|boat|bounty hunter|boy|river,1,0.026624068157614485
14 year old|british|gadget|spy|training,1,0.026624068157614485
14th century|king|knight|sword duel|time travel,1,0.026624068157614485
14th century|legend|revolt|scotland|tyranny,1,0.026624068157614485
1520s|aztec|indian|spanish colonization|spanish conquest,1,0.026624068157614485
15th birthday|birthday|gay|party|security guard,1,0.026624068157614485
15th century|cathedral|gypsy|paris|victor hugo,1,0.026624068157614485
16 year old|doctor|hotel|tinnitus|title directed by female,1,0.026624068157614485
16th century|bachelor|dishonor|masquerade party|wedding,1,0.026624068157614485
16th century|battle|japan|practice|samurai,1,0.026624068157614485
16th century|british royal family|catholic|queen|queen elizabeth i,1,0.026624068157614485
16th century|burmese|invasion|queen|thailand,1,0.026624068157614485
17th century|adultery|letter|pubic hair|swimming,1,0.026624068157614485
17th century|based on fairy tale|disney|flower|tower,1,0.026624068157614485
17th century|book|death|warlock|witch hunter,1,0.026624068157614485
17th century|king|pirate|vegetable|waiter,1,0.026624068157614485
18 wheeler|mutant|ninja|sewer|turtle,2,0.05324813631522897
1800s|classical composer|composer|first person narration|opera,1,0.026624068157614485
1800s|kazakhstan|nomad,1,0.026624068157614485
1800s|napoleonic wars|pursuit|royal navy|ship,1,0.026624068157614485
1810s|female protagonist|horseback riding|inheritance|three word title,1,0.026624068157614485
1850s|christian film|dark secret|funeral|sin eater,1,0.026624068157614485
1860s|children|king|schoolteacher|siam,1,0.026624068157614485
1880s|arrow|imperial seal|murder|revenge,1,0.026624068157614485
1880s|kiss|small town|table broken in fight|wild west,1,0.026624068157614485
1890s|hired gun|immigrant|johnson county war|sheriff,1,0.026624068157614485
18th birthday|alternate reality|introduction|nightmare|on the run,1,0.026624068157614485
18th birthday|birthday|community center|resurrection|teenager,1,0.026624068157614485
18th century|ambassador|french revolution|friendship|thomas jefferson,1,0.026624068157614485
18th century|based on novel|colonel|french and indian war|revenge,1,0.026624068157614485
18th century|highlands|scotland|sexual cruelty|sword fight,1,0.026624068157614485
18th century|perfume|scent|sense of smell|smell,1,0.026624068157614485
1910s|alien|artificially created woman|love|taxi driver,1,0.026624068157614485
1920s|ambiguity|childhood friend|new york|speakeasy,1,0.026624068157614485
1920s|aviation|fight|spruce goose|test flight,1,0.026624068157614485
1920s|golden age|midnight|paris france|time travel romance,1,0.026624068157614485
